resp_id,timestamp,city,area,city_other,age_band,occupation,memberships,rapido_freq,ordered_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,last_people,bill_fairness,tradeoff_eta,tradeoff_rel,tradeoff_rest,switch_savings,prop_P_intent,prop_Q_intent,prop_forced,prop_reason,repeat_no_promo,durability_doubt,rapido_food_seen,ownly_status,ownly_trigger,ownly_heard_where,not_opened_reason,stopped_ordering,first_order_when,prev_4wk_orders,counterfactual,ownly_loss_feel,ownly_less_reason,ownly_change,prop_P_intent_n,prop_Q_intent_n,repeat_no_promo_n,durability_doubt_n,switch_savings_rs,switch_never,switch_dk,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,age_routed_out,age_eligible,age_band_ambiguous,in_catchment,is_gachibowli_proper,has_membership,n_memberships,ownly_stage,ownly_aware,ownly_opened,ownly_says_ordered,n_platforms_used,multihoming,total_orders_4wk,recent_orderer,ownly_order_conflict,ownly_lapsed_consistent,n_ownly_usable,ownly_recent_status,amount_flag,amount_pp,exclusion_reason
R076,2026-09-18 15:44:39.195,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R077,2026-09-18 15:44:57.704,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R079,2026-09-18 15:49:58.478,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R085,2026-09-18 15:56:43.745,Hyderabad,Another part of Hyderabad,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R087,2026-09-18 15:58:39.711,Hyderabad,Financial District / Nanakramguda,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R090,2026-09-18 15:59:42.431,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R091,2026-09-18 16:00:31.908,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R093,2026-09-18 16:03:10.599,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R101,2026-09-18 16:25:59.628,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R108,2026-09-18 16:37:12.322,Hyderabad,Serilingampally / Nallagandla / Tellapur,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R109,2026-09-18 16:43:16.441,Hyderabad,Serilingampally / Nallagandla / Tellapur,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R117,2026-09-18 17:26:15.115,Bengaluru,Another part of Bengaluru,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
