date,channel,campaign_type,region,impressions,clicks,ctr_pct,spend_usd,qualified_leads,conversions,conversion_rate_pct,revenue_usd,roas,cpa_usd
2024-02-17,Meta Ads,Conversion,West,220814,5316,2.41,10710.78,495,259,4.87,60061.43,5.61,41.35
2024-02-17,Referral,Awareness,East,239430,14206,5.93,9923.61,2017,821,5.78,221941.66,22.37,12.09
2024-02-18,Referral,Awareness,North,76853,4089,5.32,6440.49,248,244,5.97,76161.57,11.83,26.4
2024-02-18,Organic Social,Retention,South,169437,4892,2.89,9333.85,627,546,11.16,204557.39,21.92,17.09
2024-02-19,LinkedIn,Conversion,South,15800,273,1.73,906.4,39,11,4.03,838.22,0.92,82.4
2024-02-20,Display,Retention,West,60718,934,1.54,2826.61,33,113,12.1,7676.75,2.72,25.01
2024-02-20,Meta Ads,Consideration,East,77692,3024,3.89,2655.26,331,427,14.12,15080.78,5.68,6.22
2024-02-20,Display,Consideration,West,38623,2374,6.15,7090.07,159,154,6.49,43555.94,6.14,46.04
2024-02-21,Email,Awareness,West,117169,5902,5.04,5660.41,887,500,8.47,144104.91,25.46,11.32
2024-02-21,Organic Search,Consideration,East,36852,2899,7.87,7481.28,156,282,9.73,80000.9,10.69,26.53
2024-02-21,Meta Ads,Awareness,South,142488,5007,3.51,15830.25,904,474,9.47,67867.83,4.29,33.4
2024-02-22,Organic Social,Conversion,North,83258,2927,3.52,5696.96,285,69,2.36,20470.11,3.59,82.56
2024-02-22,Organic Social,Conversion,South,191368,7653,4.0,8125.65,425,826,10.79,221513.65,27.26,9.84
2024-02-22,Google Ads,Retention,East,96179,1130,1.17,1516.49,111,33,2.92,12593.25,8.3,45.95
2024-02-22,Email,Conversion,South,13210,120,0.91,416.67,11,4,3.33,901.54,2.16,104.17
2024-02-22,Referral,Retention,South,136430,5325,3.9,15606.38,517,97,1.82,33362.03,2.14,160.89
2024-02-23,Display,Conversion,West,195590,10774,5.51,32100.23,1351,887,8.23,68363.94,2.13,36.19
2024-02-23,Google Ads,Awareness,South,45197,3547,7.85,9740.12,403,198,5.58,39001.15,4.0,49.19
2024-02-23,Meta Ads,Conversion,West,148891,7991,5.37,2164.88,375,978,12.24,225237.48,104.04,2.21
2024-02-23,Email,Consideration,East,215748,4049,1.88,3619.04,128,432,10.67,94343.81,26.07,8.38
2024-02-23,LinkedIn,Conversion,South,210735,16708,7.93,19150.9,2527,1106,6.62,192896.74,10.07,17.32
2024-02-23,Google Ads,Retention,West,56919,844,1.48,2480.83,101,14,1.66,1810.86,0.73,177.2
2024-02-24,Email,Consideration,West,50232,3233,6.44,5080.04,273,378,11.69,30877.38,6.08,13.44
2024-02-26,Google Ads,Awareness,North,90376,4866,5.38,14456.99,805,249,5.12,65458.81,4.53,58.06
2024-02-27,Organic Social,Awareness,South,188043,10226,5.44,24234.54,918,1342,13.12,154660.37,6.38,18.06
2024-02-27,Organic Social,Retention,West,7261,348,4.79,578.26,56,27,7.76,1978.66,3.42,21.42
2024-02-27,LinkedIn,Consideration,East,75028,2968,3.96,4579.99,222,125,4.21,14589.62,3.19,36.64
2024-02-27,Organic Search,Retention,East,127813,6263,4.9,14744.59,207,409,6.53,69574.77,4.72,36.05
2024-02-27,Referral,Retention,West,205641,13303,6.47,15788.23,2499,638,4.8,253684.06,16.07,24.75
2024-02-27,LinkedIn,Conversion,West,107112,5475,5.11,11210.69,498,778,14.21,289084.86,25.79,14.41
2024-02-28,Organic Social,Conversion,North,7336,122,1.66,233.86,19,3,2.46,1104.4,4.72,77.95
2024-02-29,Referral,Conversion,East,49363,669,1.36,1747.58,46,15,2.24,1571.55,0.9,116.51
2024-02-29,LinkedIn,Retention,West,160336,1881,1.17,5535.01,256,40,2.13,15016.99,2.71,138.38
2024-03-02,LinkedIn,Consideration,North,11530,565,4.9,941.2,100,79,13.98,7930.36,8.43,11.91
2024-03-02,Organic Search,Retention,West,224780,17372,7.73,26368.8,477,2262,13.02,70958.69,2.69,11.66
2024-03-02,Google Ads,Awareness,North,68918,3913,5.68,5325.61,663,284,7.26,41663.95,7.82,18.75
2024-03-03,Referral,Retention,South,187779,5107,2.72,2729.86,627,428,8.38,103727.42,38.0,6.38
2024-03-03,Organic Social,Awareness,East,115454,8372,7.25,23430.47,1082,210,2.51,32853.89,1.4,111.57
2024-03-03,Google Ads,Consideration,North,180674,2542,1.41,6194.23,290,148,5.82,27925.71,4.51,41.85
2024-03-05,Meta Ads,Consideration,South,175404,7872,4.49,4688.53,1396,201,2.55,74271.96,15.84,23.33
2024-03-05,Organic Search,Retention,East,46869,2457,5.24,2958.2,68,333,13.55,102430.99,34.63,8.88
2024-03-05,Organic Social,Conversion,North,108850,2766,2.54,2586.32,185,362,13.09,75629.98,29.24,7.14
2024-03-06,Organic Social,Conversion,East,238240,14961,6.28,39424.03,2657,1957,13.08,401983.88,10.2,20.15
2024-03-08,Display,Awareness,East,122886,2871,2.34,8723.11,446,268,9.33,21853.22,2.51,32.55
2024-03-09,Email,Awareness,South,135544,8153,6.02,8593.66,188,1172,14.38,99689.41,11.6,7.33
2024-03-09,Meta Ads,Conversion,North,27785,969,3.49,2699.76,109,14,1.44,3728.32,1.38,192.84
2024-03-09,LinkedIn,Consideration,North,69200,2776,4.01,3565.74,320,274,9.87,81523.53,22.86,13.01
2024-03-10,Organic Search,Consideration,East,165761,2283,1.38,5415.65,210,261,11.43,82664.84,15.26,20.75
2024-03-12,Google Ads,Conversion,North,240718,3883,1.61,6545.48,285,49,1.26,17029.29,2.6,133.58
2024-03-14,Organic Search,Retention,South,180767,4882,2.7,17001.04,696,175,3.58,63010.81,3.71,97.15
2024-03-15,Google Ads,Awareness,East,185488,5076,2.74,16395.79,291,702,13.83,279759.39,17.06,23.36
2024-03-15,Email,Retention,West,47359,1336,2.82,1438.0,218,36,2.69,2214.11,1.54,39.94
2024-03-16,Email,Conversion,West,155611,7444,4.78,10683.48,1224,538,7.23,64126.27,6.0,19.86
2024-03-16,Meta Ads,Retention,South,79965,1890,2.36,3871.09,179,81,4.29,23114.43,5.97,47.79
2024-03-16,Organic Search,Consideration,South,81449,5651,6.94,16754.99,401,798,14.12,55007.13,3.28,21.0
2024-03-20,Email,Consideration,North,87035,961,1.1,3345.02,68,67,6.97,23130.32,6.91,49.93
2024-03-21,LinkedIn,Retention,North,80939,890,1.1,1068.6,95,66,7.42,14028.99,13.13,16.19
2024-03-21,Meta Ads,Retention,West,195706,4141,2.12,4226.0,619,90,2.17,34261.61,8.11,46.96
2024-03-21,Organic Search,Awareness,North,194139,4989,2.57,10419.46,422,362,7.26,88844.88,8.53,28.78
2024-03-22,Meta Ads,Conversion,North,156203,8341,5.34,12514.68,1082,1250,14.99,188324.05,15.05,10.01
2024-03-24,Referral,Awareness,South,151045,9457,6.26,29223.02,840,1061,11.22,299798.0,10.26,27.54
2024-03-26,Email,Awareness,North,244968,9290,3.79,31002.35,695,1245,13.4,147598.42,4.76,24.9
2024-03-26,Google Ads,Conversion,East,166445,11255,6.76,12205.11,275,1102,9.79,70782.73,5.8,11.08
2024-03-28,LinkedIn,Consideration,West,156716,5781,3.69,20078.93,119,788,13.63,88660.74,4.42,25.48
2024-03-29,Email,Awareness,East,116672,5679,4.87,11999.59,345,490,8.63,95586.86,7.97,24.49
2024-03-29,Meta Ads,Conversion,South,172708,1524,0.88,782.38,141,225,14.76,31943.38,40.83,3.48
2024-03-30,LinkedIn,Consideration,North,222144,11677,5.26,6384.44,2022,1183,10.13,280439.89,43.93,5.4
2024-03-30,Organic Search,Awareness,East,96575,4468,4.63,10927.7,731,49,1.1,11282.02,1.03,223.01
2024-03-30,LinkedIn,Conversion,East,144839,6008,4.15,11758.2,409,229,3.81,88347.45,7.51,51.35
2024-03-31,Organic Search,Conversion,North,196083,8791,4.48,5476.35,562,730,8.3,49694.66,9.07,7.5
2024-04-01,Google Ads,Awareness,East,98269,1607,1.64,3658.02,97,28,1.74,7386.28,2.02,130.64
2024-04-01,Display,Awareness,East,182809,1923,1.05,4511.23,155,212,11.02,38020.42,8.43,21.28
2024-04-01,Referral,Awareness,West,224368,5356,2.39,4532.36,587,372,6.95,50537.42,11.15,12.18
2024-04-02,Referral,Awareness,South,84239,1907,2.26,5857.45,188,39,2.05,10144.55,1.73,150.19
2024-04-03,Organic Search,Retention,East,99475,3077,3.09,3844.62,182,202,6.56,13058.12,3.4,19.03
2024-04-04,Email,Retention,North,153934,3507,2.28,7095.16,152,129,3.68,40362.84,5.69,55.0
2024-04-04,Email,Retention,East,22297,1259,5.65,2186.49,28,83,6.59,4051.71,1.85,26.34
2024-04-05,LinkedIn,Retention,South,150448,1510,1.0,1485.26,72,194,12.85,38125.61,25.67,7.66
2024-04-05,Google Ads,Conversion,West,178942,8224,4.6,24938.71,1208,175,2.13,19901.46,0.8,142.51
2024-04-05,Display,Retention,East,138241,4783,3.46,5967.56,305,573,11.98,197103.08,33.03,10.41
2024-04-05,Organic Search,Consideration,North,67493,3623,5.37,11594.11,378,378,10.43,21186.89,1.83,30.67
2024-04-05,LinkedIn,Awareness,South,165081,6767,4.1,6491.88,855,525,7.76,42504.85,6.55,12.37
2024-04-06,Display,Awareness,South,222569,15871,7.13,43122.02,2850,1263,7.96,349740.85,8.11,34.14
2024-04-06,Referral,Conversion,North,246506,16874,6.85,33710.79,3037,2117,12.55,832901.35,24.71,15.92
2024-04-07,LinkedIn,Conversion,South,53781,1301,2.42,2177.97,200,181,13.91,18799.14,8.63,12.03
2024-04-08,Google Ads,Consideration,South,23351,795,3.4,843.4,20,20,2.52,7481.52,8.87,42.17
2024-04-08,Referral,Retention,South,179427,6363,3.55,3774.36,785,146,2.29,8651.69,2.29,25.85
2024-04-08,Referral,Conversion,South,121219,2063,1.7,3562.41,333,36,1.75,13926.98,3.91,98.96
2024-04-08,Organic Search,Retention,South,97493,5753,5.9,4422.8,132,330,5.74,42727.43,9.66,13.4
2024-04-08,Meta Ads,Consideration,North,136354,6474,4.75,4611.62,770,347,5.36,19530.49,4.24,13.29
2024-04-08,LinkedIn,Consideration,East,150639,5874,3.9,8051.24,1024,484,8.24,169684.06,21.08,16.63
2024-04-08,Display,Awareness,North,5340,329,6.16,1008.53,34,14,4.26,4439.02,4.4,72.04
2024-04-08,Organic Search,Consideration,South,162489,6522,4.01,12281.55,135,584,8.95,52874.25,4.31,21.03
2024-04-09,Google Ads,Conversion,East,33228,630,1.9,565.46,13,24,3.81,3808.31,6.73,23.56
2024-04-09,Referral,Retention,East,32716,635,1.94,421.04,60,41,6.46,3136.96,7.45,10.27
2024-04-09,LinkedIn,Retention,East,126251,8186,6.48,17971.82,392,345,4.21,109990.11,6.12,52.09
2024-04-09,Organic Search,Retention,West,124006,3634,2.93,10739.76,507,413,11.36,116573.64,10.85,26.0
2024-04-10,LinkedIn,Consideration,East,37602,1694,4.51,5018.34,250,157,9.27,48442.91,9.65,31.96
2024-04-10,Referral,Retention,East,212780,15997,7.52,12632.36,832,2094,13.09,152388.91,12.06,6.03
2024-04-10,Referral,Awareness,West,197512,14542,7.36,44422.6,2616,735,5.05,145399.13,3.27,60.44
2024-04-10,Organic Search,Awareness,North,94087,1784,1.9,3071.41,177,44,2.47,8684.53,2.83,69.8
2024-04-12,Google Ads,Consideration,East,143999,8386,5.82,10371.62,383,913,10.89,354893.72,34.22,11.36
2024-04-12,LinkedIn,Retention,West,191356,4497,2.35,5624.09,708,389,8.65,136211.85,24.22,14.46
2024-04-12,LinkedIn,Consideration,South,213537,9061,4.24,23326.24,1469,259,2.86,52235.16,2.24,90.06
2024-04-13,Organic Social,Conversion,South,248800,8469,3.4,24059.89,1143,944,11.15,100550.29,4.18,25.49
2024-04-13,Email,Awareness,North,100074,3901,3.9,9242.65,677,526,13.48,130197.55,14.09,17.57
2024-04-14,Google Ads,Conversion,North,184587,6853,3.71,17263.7,1046,118,1.72,6266.32,0.36,146.3
2024-04-15,Referral,Consideration,South,188965,7328,3.88,4839.27,1310,428,5.84,87478.52,18.08,11.31
2024-04-15,Organic Social,Conversion,East,210977,16870,8.0,46572.64,1654,2498,14.81,337483.81,7.25,18.64
2024-04-16,Referral,Awareness,North,243511,13901,5.71,43024.54,2148,1727,12.42,647571.14,15.05,24.91
2024-04-17,Google Ads,Awareness,West,83279,2794,3.35,9728.29,558,72,2.58,12373.45,1.27,135.12
2024-04-17,LinkedIn,Conversion,East,185488,3891,2.1,8325.21,585,531,13.65,149639.75,17.97,15.68
2024-04-18,LinkedIn,Retention,West,166726,4035,2.42,5910.78,163,417,10.33,136065.85,23.02,14.17
2024-04-21,Organic Search,Awareness,North,244017,9638,3.95,30110.6,1091,695,7.21,141273.5,4.69,43.32
2024-04-21,Referral,Conversion,South,147312,7119,4.83,20403.99,895,859,12.07,249015.5,12.2,23.75
2024-04-22,Email,Awareness,East,134295,9724,7.24,6842.74,499,988,10.16,42216.44,6.17,6.93
2024-04-22,Google Ads,Conversion,East,64711,2929,4.53,8121.95,566,256,8.74,83506.78,10.28,31.73
2024-04-22,Meta Ads,Retention,North,210730,13949,6.62,19732.08,719,1508,10.81,324238.92,16.43,13.08
2024-04-22,Referral,Awareness,South,89246,6209,6.96,15450.96,322,498,8.02,136173.77,8.81,31.03
2024-04-22,Email,Conversion,South,176790,3678,2.08,2784.67,679,266,7.23,43490.56,15.62,10.47
2024-04-23,LinkedIn,Awareness,South,241356,13187,5.46,7522.28,1367,1434,10.87,97402.5,12.95,5.25
2024-04-23,Organic Search,Consideration,South,33933,452,1.33,1060.3,14,13,2.88,1311.94,1.24,81.56
2024-04-24,Organic Social,Consideration,West,153510,10297,6.71,23321.65,1314,577,5.6,125951.91,5.4,40.42
2024-04-25,Google Ads,Retention,North,182109,8308,4.56,26261.74,1066,477,5.74,134126.83,5.11,55.06
2024-04-25,Google Ads,Retention,West,223517,13592,6.08,27037.82,429,328,2.41,11772.08,0.44,82.43
2024-04-25,Google Ads,Retention,East,54437,516,0.95,962.29,100,18,3.49,4091.83,4.25,53.46
2024-04-26,Google Ads,Consideration,South,153049,6727,4.4,13801.51,793,446,6.63,96773.46,7.01,30.95
2024-04-26,Referral,Awareness,North,11142,595,5.34,1999.73,71,48,8.07,2549.64,1.27,41.66
2024-04-27,Meta Ads,Retention,South,76425,2157,2.82,3904.5,245,309,14.33,74040.02,18.96,12.64
2024-04-28,Google Ads,Retention,East,202706,3060,1.51,4618.2,397,296,9.67,82474.83,17.86,15.6
2024-04-29,Google Ads,Consideration,South,187947,6655,3.54,3084.59,449,310,4.66,12129.64,3.93,9.95
2024-04-29,Organic Social,Conversion,West,158262,11124,7.03,20820.3,797,361,3.25,111880.94,5.37,57.67
2024-04-30,Display,Awareness,South,51305,3930,7.66,3872.6,440,501,12.75,91718.69,23.68,7.73
2024-05-01,LinkedIn,Conversion,East,86442,2037,2.36,3260.06,336,104,5.11,4503.96,1.38,31.35
2024-05-01,Google Ads,Awareness,North,175047,10827,6.19,35675.13,313,506,4.67,98239.36,2.75,70.5
2024-05-01,Google Ads,Conversion,South,138611,2557,1.84,2982.07,328,254,9.93,81779.25,27.42,11.74
2024-05-01,Google Ads,Awareness,East,31762,398,1.25,597.63,65,17,4.27,4324.17,7.24,35.15
2024-05-01,Referral,Consideration,South,21715,488,2.25,1410.24,23,72,14.75,2582.29,1.83,19.59
2024-05-02,Organic Social,Awareness,North,107932,1077,1.0,2696.1,24,105,9.75,16490.23,6.12,25.68
2024-05-03,Meta Ads,Consideration,North,34516,1344,3.89,1283.66,102,117,8.71,11210.6,8.73,10.97
2024-05-03,Organic Social,Retention,West,215262,13667,6.35,9074.22,1720,1764,12.91,400698.67,44.16,5.14
2024-05-04,Referral,Consideration,North,54334,3804,7.0,7041.0,170,224,5.89,30075.36,4.27,31.43
2024-05-05,LinkedIn,Awareness,East,164136,8153,4.97,18671.78,788,399,4.89,110270.58,5.91,46.8
2024-05-05,Organic Social,Awareness,East,66350,1534,2.31,2327.35,183,59,3.85,6239.03,2.68,39.45
2024-05-05,Google Ads,Consideration,East,43547,450,1.03,1483.02,57,65,14.44,17023.83,11.48,22.82
2024-05-05,Display,Awareness,North,208774,7541,3.61,6977.66,523,972,12.89,94209.71,13.5,7.18
2024-05-06,Google Ads,Retention,East,15651,1008,6.44,2922.85,92,31,3.08,9482.36,3.24,94.29
2024-05-06,Organic Search,Conversion,North,165105,9520,5.77,21042.77,1524,770,8.09,250125.86,11.89,27.33
2024-05-07,LinkedIn,Awareness,West,86835,4910,5.65,10172.95,930,176,3.58,69084.81,6.79,57.8
2024-05-07,Email,Conversion,North,71314,2558,3.59,5090.28,448,217,8.48,84247.49,16.55,23.46
2024-05-07,Google Ads,Retention,West,67824,598,0.88,833.23,72,54,9.03,17648.94,21.18,15.43
2024-05-07,Organic Search,Retention,North,182810,11028,6.03,14040.67,1035,1428,12.95,356757.9,25.41,9.83
2024-05-08,Meta Ads,Retention,South,27010,1218,4.51,2061.69,97,46,3.78,5085.68,2.47,44.82
2024-05-08,LinkedIn,Awareness,North,76947,789,1.03,1135.47,33,108,13.69,11555.92,10.18,10.51
2024-05-08,Google Ads,Awareness,South,231416,14932,6.45,47350.28,585,1603,10.74,340777.92,7.2,29.54
2024-05-09,Display,Awareness,South,137161,9998,7.29,27255.77,1438,1028,10.28,357543.51,13.12,26.51
2024-05-09,Organic Search,Conversion,East,33795,410,1.21,517.98,27,46,11.22,1870.2,3.61,11.26
2024-05-10,Referral,Conversion,West,102239,5111,5.0,10622.21,336,703,13.75,198212.76,18.66,15.11
2024-05-10,Organic Search,Consideration,South,140565,3356,2.39,5852.41,670,443,13.2,14087.98,2.41,13.21
2024-05-10,Referral,Consideration,South,55669,4035,7.25,8570.32,217,402,9.96,158281.04,18.47,21.32
2024-05-10,Meta Ads,Consideration,South,134951,10187,7.55,10492.26,475,503,4.94,116516.65,11.11,20.86
2024-05-11,Meta Ads,Consideration,North,203568,7579,3.72,20761.97,286,947,12.5,137383.74,6.62,21.92
2024-05-12,Referral,Awareness,West,149355,9548,6.39,28912.48,1187,138,1.45,38731.28,1.34,209.51
2024-05-13,Display,Conversion,South,164470,1959,1.19,6157.04,260,57,2.91,16920.62,2.75,108.02
2024-05-13,Organic Social,Conversion,South,151108,11312,7.49,4491.54,969,1624,14.36,258741.26,57.61,2.77
