resp_id,timestamp,city,area,city_other,age_band,occupation,memberships,rapido_freq,ordered_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,last_people,bill_fairness,tradeoff_eta,tradeoff_rel,tradeoff_rest,switch_savings,prop_P_intent,prop_Q_intent,prop_forced,prop_reason,repeat_no_promo,durability_doubt,rapido_food_seen,ownly_status,ownly_trigger,ownly_heard_where,not_opened_reason,stopped_ordering,first_order_when,prev_4wk_orders,counterfactual,ownly_loss_feel,ownly_less_reason,ownly_change,prop_P_intent_n,prop_Q_intent_n,repeat_no_promo_n,durability_doubt_n,switch_savings_rs,switch_never,switch_dk,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,age_routed_out,age_eligible,age_band_ambiguous,in_catchment,is_gachibowli_proper,has_membership,n_memberships,ownly_stage,ownly_aware,ownly_opened,ownly_says_ordered,n_platforms_used,multihoming,total_orders_4wk,recent_orderer,ownly_order_conflict,ownly_lapsed_consistent,n_ownly_usable,ownly_recent_status,amount_flag,amount_pp,exclusion_reason,pop_HYD_ELIGIBLE,pop_HYD_CATCHMENT,pop_HYD_GACHIBOWLI,pop_HYD_RECENT_ORDERER,pop_BLR_ELIGIBLE,pop_OTHER
R021,2026-09-17 10:38:37.650,Bengaluru,Electronic City / Bommanahalli,,20–24,Working full-time,,1–3 times,Yes,3.0,0.0,2.0,0.0,Swiggy,250.0,,"Yes, it felt fair","₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹10,Probably,Probably not,Service P,,Not sure,Strongly agree,Yes,I've ordered on Ownly,,,,,In the last 4 weeks,2.0,Ordered the same on Swiggy or Zomato,Somewhat disappointed,Offers ended,More offers and coupons,4.0,2.0,3.0,5.0,10.0,False,False,False,False,True,False,True,False,False,False,False,0,3.0,True,True,True,2.0,True,5.0,True,False,False,2.0,Ordered on Ownly in last 4 weeks,,,,False,False,False,False,True,False
R022,2026-09-17 10:46:18.777,Bengaluru,Electronic City / Bommanahalli,,20–24,Working full-time,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,2.0,5.0,1.0,3.0,Zomato,1317.0,,"No, the food itself was overpriced","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹100 or more,Probably,Probably,Service P,May be the clear coat break up ,Probably not,Strongly agree,Yes,I've ordered on Ownly,,,,,1–3 months ago,1.0,"Cooked, or eaten at home / mess / hostel",Not disappointed,Late or failed deliveries,Faster delivery,4.0,4.0,2.0,5.0,100.0,False,False,True,False,True,False,True,False,False,False,True,1,3.0,True,True,True,4.0,True,11.0,True,False,False,1.0,Ordered on Ownly in last 4 weeks,,,,False,False,False,False,True,False
R023,2026-09-17 10:47:26.602,Hyderabad,Gachibowli,,25–29,Working full-time,"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,2.0,3.0,0.0,0.0,Zomato,1500.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",₹75,Definitely,Definitely,I genuinely can't choose between them,,Probably,Agree,Not sure,I hadn't heard of Ownly,A friend telling me it works well,,,,,,,,,,5.0,5.0,4.0,4.0,75.0,False,False,True,False,False,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,5.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R024,2026-09-17 10:49:36.999,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,3.0,12.0,0.0,0.0,Zomato,220.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹20,Probably,Definitely,Service Q,,Not sure,Strongly agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,4.0,5.0,3.0,5.0,20.0,False,False,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,15.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R025,2026-09-17 10:50:06.526,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,,20–24,Studying and working (internship / part-time),Swiggy One (any plan),Several times a week,Yes,5.0,0.0,0.0,2.0,Swiggy,300.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹50,Not sure,Not sure,Service P,,Probably,Agree,Not sure,"I'd heard of it, but never opened it",,Instagram / YouTube,Just haven't got around to it,,,,,,,,3.0,3.0,4.0,4.0,50.0,False,False,True,True,False,False,True,False,False,False,True,1,1.0,True,False,False,2.0,True,7.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R027,2026-09-17 10:57:56.627,Another city,,Another Indian city,20–24,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold",,Yes,1.0,0.0,0.0,1.0,Swiggy,180.0,,"Yes, it felt fair",,,,,,,,,,,I don't use the Rapido app,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,2.0,True,2.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R028,2026-09-17 11:03:06.542,Bengaluru,Hebbal / Yelahanka / North Bengaluru,,20–24,Studying and working (internship / part-time),Swiggy One (any plan),1–3 times,Yes,2.0,0.0,0.0,0.0,Swiggy,460.0,,I didn't really look at the breakdown,"₹260 total, arrives in 30 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹10,Not sure,Not sure,I genuinely can't choose between them,,Not sure,Neither,No,"I opened or browsed it, but didn't order",,,,A coupon on my usual app made that cheaper,,,,,,,3.0,3.0,3.0,3.0,10.0,False,False,False,False,True,False,True,False,False,False,True,1,2.0,True,True,False,1.0,False,2.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R029,2026-09-17 11:06:44.271,Another city,,Another Indian city,20–24,Student (undergraduate),Zomato Gold,,Yes,0.0,3.0,0.0,0.0,Zomato,749.0,,"Yes, it felt fair",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,1.0,False,3.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R030,2026-09-17 11:08:25.813,Another city,,Another Indian city,20–24,Working full-time,Swiggy One (any plan),,Yes,5.0,1.0,0.0,0.0,Swiggy,,,"Yes, it felt fair",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,2.0,True,6.0,True,False,False,0.0,Never ordered on Ownly,amount_zero_implausible_voided,,,False,False,False,False,False,True
R031,2026-09-17 11:10:06.374,Another city,,Chennai,20–24,Working full-time,,,Yes,0.0,1.0,0.0,2.0,Zomato,264.0,,"No, the extra charges on top were too much",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R034,2026-09-17 11:15:33.606,Another city,,Another Indian city,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",,Yes,5.0,20.0,0.0,0.0,Zomato,212.0,,"Yes, it felt fair",,,,,,,,,,,No,,,,,,,,,Not disappointed,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,2.0,True,25.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R035,2026-09-17 11:15:58.146,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold",Several times a week,Yes,0.0,5.0,0.0,0.0,Zomato,535.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹30,Probably,Definitely,Service Q,The services,Probably,Agree,Not sure,I hadn't heard of Ownly,A promise of a quick refund if an order goes wrong,,,,,,,,,,4.0,5.0,4.0,4.0,30.0,False,False,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,5.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R037,2026-09-17 11:25:22.880,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",Never,Yes,17.0,2.0,0.0,0.0,Swiggy,153.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹10,Probably,Probably,Service P,Service Q is quite similar to Swiggy already,Not sure,Agree,Yes,"I opened or browsed it, but didn't order",,,,I was just looking around,,,,,,,4.0,4.0,3.0,4.0,10.0,False,False,True,False,True,False,True,False,True,True,True,1,2.0,True,True,False,2.0,True,19.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R039,2026-09-17 11:29:26.445,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),Swiggy One (any plan),1–3 times,Yes,10.0,0.0,0.0,0.0,Swiggy,1000.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Probably,Probably,Service P,,Not sure,Agree,No,I hadn't heard of Ownly,A discount on my first order,,,,,,,,,,4.0,4.0,3.0,4.0,100.0,False,False,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,10.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R041,2026-09-17 11:32:21.119,Another city,,Another Indian city,20–24,Looking for a job,Swiggy One (any plan),,Yes,4.0,0.0,0.0,0.0,Swiggy,148.0,,"Yes, it felt fair",,,,,,,,,,,I don't use the Rapido app,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,True,1,,False,False,False,1.0,False,4.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R042,2026-09-17 11:33:23.391,Hyderabad,Gachibowli,,20–24,Student (undergraduate),Swiggy One (any plan),1–3 times,Yes,2.0,0.0,0.0,0.0,Swiggy,356.0,,I didn't really look at the breakdown,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹75,Probably,Probably,Service P,Cheaper prices,Probably not,Strongly agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,4.0,4.0,2.0,5.0,75.0,False,False,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,2.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R045,2026-09-17 11:47:41.545,Hyderabad,Gachibowli,,20–24,Working full-time,,Several times a week,Yes,4.0,0.0,0.0,1.0,Swiggy,1000.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants","No amount, price alone wouldn't make me switch",Probably not,Probably,Service Q,,Definitely not,Agree,No,I hadn't heard of Ownly,A friend telling me it works well,,,,,,,,,,2.0,4.0,1.0,4.0,,True,False,True,True,False,False,True,False,True,True,False,0,0.0,False,False,False,2.0,True,5.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R046,2026-09-17 11:52:24.125,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),,1–3 times,No,,,,,,,,,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹50,Definitely,Probably,Service P,,Probably,Agree,No,I hadn't heard of Ownly,A friend telling me it works well,,,,,,,,,,5.0,4.0,4.0,4.0,50.0,False,False,True,True,True,False,True,False,True,True,False,0,0.0,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,True,True,True,False,False,False
R048,2026-09-17 12:01:07.487,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",1–3 times,Yes,6.0,2.0,0.0,1.0,Swiggy,543.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹30,Probably,Probably,I genuinely can't choose between them,,Not sure,Strongly agree,Not sure,I've ordered on Ownly,,,,,More than 4 weeks ago,2.0,Ordered the same on Swiggy or Zomato,Not disappointed,,More restaurants,4.0,4.0,3.0,5.0,30.0,False,False,True,True,False,False,True,False,True,True,True,1,3.0,True,True,True,3.0,True,9.0,True,False,True,0.0,"Lapsed - ordered earlier, none in last 4 weeks",,,,True,True,True,True,False,False
R049,2026-09-17 12:19:26.332,Hyderabad,Another part of Hyderabad,,25–29,Working full-time,Zomato Gold,About once a week,No,,,,,,,,,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",Don't know,Definitely,Probably,Service P,,Probably,Strongly agree,Yes,"I'd heard of it, but never opened it",,Inside the Rapido app,Just haven't got around to it,,,,,,,,5.0,4.0,4.0,5.0,,False,True,True,True,False,False,True,False,False,False,True,1,1.0,True,False,False,,False,,False,False,False,,Not asked / not applicable,,,,True,False,False,False,False,False
R050,2026-09-17 12:19:46.140,Hyderabad,Gachibowli,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",Several times a week,Yes,18.0,1.0,0.0,1.0,Swiggy,306.0,,I didn't really look at the breakdown,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹30,Definitely,Not sure,Service P,Delivery fee ,Not sure,Strongly agree,No,"I'd heard of it, but never opened it",,"Friends, classmates or colleagues",Just haven't got around to it,,,,,,,,5.0,3.0,3.0,5.0,30.0,False,False,True,True,False,False,True,False,True,True,True,1,1.0,True,False,False,3.0,True,20.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R052,2026-09-17 12:53:55.997,Hyderabad,Gachibowli,,25–29,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold, Another food delivery membership",1–3 times,Yes,5.0,0.0,0.0,0.0,Swiggy,600.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹50,Probably,Definitely,Service Q,Accountability ,Probably not,Agree,No,I hadn't heard of Ownly,A promise of a quick refund if an order goes wrong,,,,,,,,,,4.0,5.0,2.0,4.0,50.0,False,False,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,5.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R053,2026-09-17 13:14:37.176,Another city,,Another Indian city,20–24,Student (undergraduate),,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,False,True
R054,2026-09-17 13:20:41.803,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold, Another food delivery membership",Never,Yes,10.0,5.0,0.0,0.0,Zomato,169.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹30,Probably,Definitely,Service Q,,Definitely,Agree,No,I hadn't heard of Ownly,A discount on my first order,,,,,,,,,,4.0,5.0,5.0,4.0,30.0,False,False,True,True,True,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,15.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R055,2026-09-17 13:24:11.123,Another city,,Chennai,20–24,Student (undergraduate),,,Yes,0.0,0.0,0.0,2.0,Other,300.0,,"Yes, it felt fair",,,,,,,,,,,No,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,1.0,False,2.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R056,2026-09-17 13:38:52.296,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),Zomato Gold,Several times a week,Yes,0.0,5.0,0.0,0.0,Zomato,322.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",Don't know,Not sure,Probably,I genuinely can't choose between them,Too good to be true. ,Not sure,Neither,No,I hadn't heard of Ownly,My usual restaurants being on it,,,,,,,,,,3.0,4.0,3.0,3.0,,False,True,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,5.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R057,2026-09-17 14:06:46.409,Hyderabad,Gachibowli,,20–24,Student (undergraduate),Swiggy One (any plan),Several times a week,Yes,1.0,0.0,0.0,0.0,Swiggy,318.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",₹20,Definitely not,Definitely not,I genuinely can't choose between them,I don't know ,Probably not,Agree,Not sure,I hadn't heard of Ownly,A promise of a quick refund if an order goes wrong,,,,,,,,,,1.0,1.0,2.0,4.0,20.0,False,False,True,False,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,1.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R060,2026-09-17 14:31:28.943,Hyderabad,Financial District / Nanakramguda,,30–35,Other,"Swiggy One (any plan), Zomato Gold",Never,Yes,6.0,5.0,0.0,0.0,Swiggy,800.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Definitely,Probably,Service P,I am ready to pay for the rider and the app can charge it from the restaurants,Not sure,Strongly agree,No,"I'd heard of it, but never opened it",,"News, LinkedIn or Reddit",Just haven't got around to it,,,,,,,,5.0,4.0,3.0,5.0,100.0,False,False,True,True,False,False,True,False,True,False,True,1,1.0,True,False,False,2.0,True,11.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,False,True,False,False
R061,2026-09-17 14:55:36.928,Hyderabad,Another part of Hyderabad,,20–24,Looking for a job,Swiggy One (any plan),1–3 times,Yes,1.0,0.0,0.0,0.0,Swiggy,250.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",Don't know,Not sure,Not sure,Service Q,,Probably not,Agree,Not sure,I hadn't heard of Ownly,A friend telling me it works well,,,,,,,,,,3.0,3.0,2.0,4.0,,False,True,True,True,False,False,True,False,False,False,True,1,0.0,False,False,False,1.0,False,1.0,True,False,False,0.0,Never ordered on Ownly,,,,True,False,False,True,False,False
R063,2026-09-17 17:04:35.118,Hyderabad,Gachibowli,,20–24,Student (undergraduate),Swiggy One (any plan),1–3 times,Yes,4.0,0.0,0.0,0.0,Swiggy,800.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Probably,Definitely not,Service P,Service P has more all the restaurants even the common ones not only tiffins and things like that as I usually only get to order food from outside on special days and very occasionally so I always order smtg fun to have but the packaging delivery and all other fees make it hard to buy even a normal burger ,Not sure,Strongly agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,4.0,1.0,3.0,5.0,100.0,False,False,True,True,False,False,True,False,True,True,True,1,0.0,False,False,False,1.0,False,4.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
