resp_id,city,area,age_band,occupation,in_catchment,has_membership,n_memberships,multihoming,n_platforms_used,total_orders_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,amount_pp,bill_fairness,rapido_freq,rapido_food_seen,ownly_stage,ownly_aware,ownly_opened,ownly_ordered,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,switch_savings_rs,switch_never,switch_dk,prop_P_intent_n,prop_Q_intent_n,prop_forced,repeat_no_promo_n,durability_doubt_n,pop_HYD_ELIGIBLE,pop_HYD_CATCHMENT,pop_BLR_ELIGIBLE,pop_OTHER
R049,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,3.0,20.0,18.0,1.0,0.0,1.0,Swiggy,306.0,,I didn't really look at the breakdown,Several times a week,No,1.0,True,False,False,True,True,False,30.0,False,False,5.0,3.0,Service P,3.0,5.0,True,True,False,False
R051,Hyderabad,Gachibowli,25–29,Student (postgraduate / PhD),True,True,3,False,1.0,5.0,5.0,0.0,0.0,0.0,Swiggy,600.0,,"No, the extra charges on top were too much",1–3 times,No,0.0,False,False,False,True,True,False,50.0,False,False,4.0,5.0,Service Q,2.0,4.0,True,True,False,False
R052,Another city,Another Indian city,20–24,Student (undergraduate),False,False,0,False,,,,,,,,,,,,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R053,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,3,True,2.0,15.0,10.0,5.0,0.0,0.0,Zomato,169.0,,"Yes, it felt fair",Never,No,0.0,False,False,False,True,True,True,30.0,False,False,4.0,5.0,Service Q,5.0,4.0,True,True,False,False
R054,Another city,Chennai,20–24,Student (undergraduate),False,False,0,False,1.0,2.0,0.0,0.0,0.0,2.0,Other,300.0,,"Yes, it felt fair",,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R055,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,1,False,1.0,5.0,0.0,5.0,0.0,0.0,Zomato,322.0,,"Yes, it felt fair",Several times a week,No,0.0,False,False,False,True,True,False,,False,True,3.0,4.0,I genuinely can't choose between them,3.0,3.0,True,True,False,False
R056,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,1,False,1.0,1.0,1.0,0.0,0.0,0.0,Swiggy,318.0,,"No, the extra charges on top were too much",Several times a week,Not sure,0.0,False,False,False,True,False,False,20.0,False,False,1.0,1.0,I genuinely can't choose between them,2.0,4.0,True,True,False,False
R059,Hyderabad,Financial District / Nanakramguda,30–35,Other,True,True,2,True,2.0,11.0,6.0,5.0,0.0,0.0,Swiggy,800.0,,"No, the extra charges on top were too much",Never,No,1.0,True,False,False,True,True,False,100.0,False,False,5.0,4.0,Service P,3.0,5.0,True,True,False,False
R060,Hyderabad,Another part of Hyderabad,20–24,Looking for a job,False,True,1,False,1.0,1.0,1.0,0.0,0.0,0.0,Swiggy,250.0,,"No, the extra charges on top were too much",1–3 times,Not sure,0.0,False,False,False,True,True,False,,False,True,3.0,3.0,Service Q,2.0,4.0,True,False,False,False
R062,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,1,False,1.0,4.0,4.0,0.0,0.0,0.0,Swiggy,800.0,,"No, the extra charges on top were too much",1–3 times,No,0.0,False,False,False,True,True,False,100.0,False,False,4.0,1.0,Service P,3.0,5.0,True,True,False,False
R064,Hyderabad,Gachibowli,25–29,Student (postgraduate / PhD),True,True,1,True,2.0,11.0,9.0,0.0,0.0,2.0,Other,176.0,,"Yes, it felt fair",Several times a week,No,0.0,False,False,False,True,False,False,100.0,False,False,3.0,4.0,I genuinely can't choose between them,4.0,4.0,True,True,False,False
R065,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,False,0,False,,,,,,,,,,,About once a week,No,1.0,True,False,False,True,True,True,30.0,False,False,4.0,4.0,Service Q,4.0,2.0,True,True,False,False
R066,Another city,Another Indian city,20–24,Student (undergraduate),False,True,1,False,1.0,10.0,10.0,0.0,0.0,0.0,Swiggy,340.0,,"No, the extra charges on top were too much",,No,,False,False,False,,,,,False,False,,,,,,False,False,False,True
R067,Another city,Another Indian city,20–24,Student (undergraduate),False,False,0,False,,,,,,,,,,,,Not sure,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R068,Another city,Another Indian city,20–24,Student (undergraduate),False,False,0,False,,,,,,,,,,,,No,,False,False,False,,,,,False,False,,,,,,False,False,False,True
R069,Another city,Another Indian city,20–24,Student (undergraduate),False,True,2,False,,,,,,,,,,,,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R070,Another city,Another Indian city,20–24,Student (undergraduate),False,False,0,False,,,,,,,,,,,,Not sure,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R072,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,25–29,Working full-time,False,True,1,False,1.0,10.0,10.0,0.0,0.0,0.0,Swiggy,3000.0,,"No, the extra charges on top were too much",About once a week,Not sure,1.0,True,False,False,True,True,True,10.0,False,False,3.0,2.0,Service P,3.0,3.0,False,False,True,False
R073,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,30–35,Working full-time,False,True,1,False,1.0,8.0,0.0,8.0,0.0,0.0,Zomato,1038.0,,"Yes, it felt fair",About once a week,No,0.0,False,False,False,False,True,False,100.0,False,False,3.0,3.0,I genuinely can't choose between them,3.0,3.0,False,False,True,False
R077,Hyderabad,Narsingi / Kokapet,20–24,Student (undergraduate),True,False,0,False,,,,,,,,,,,Never,I don't use the Rapido app,1.0,True,False,False,False,True,False,,True,False,4.0,4.0,Service P,5.0,5.0,True,True,False,False
R079,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,1,True,2.0,3.0,2.0,1.0,0.0,0.0,Zomato,200.0,,"No, the extra charges on top were too much",Never,No,0.0,False,False,False,True,True,True,50.0,False,False,4.0,4.0,I genuinely can't choose between them,2.0,4.0,True,True,False,False
R080,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,False,0,False,1.0,20.0,0.0,20.0,0.0,0.0,Zomato,2500.0,,"No, the food itself was overpriced",Never,Yes,0.0,False,False,False,True,True,False,10.0,False,False,1.0,1.0,I genuinely can't choose between them,1.0,1.0,True,True,False,False
R081,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,2.0,7.0,4.0,3.0,0.0,0.0,Swiggy,1200.0,,"No, the extra charges on top were too much",1–3 times,Yes,1.0,True,False,False,True,True,False,30.0,False,False,5.0,4.0,Service P,4.0,4.0,True,True,False,False
R082,Hyderabad,Financial District / Nanakramguda,20–24,Student (undergraduate),True,True,2,True,3.0,7.0,3.0,3.0,0.0,1.0,Zomato,299.0,,"No, the extra charges on top were too much",1–3 times,Yes,1.0,True,False,False,True,True,False,30.0,False,False,4.0,4.0,I genuinely can't choose between them,3.0,5.0,True,True,False,False
R083,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,1,True,2.0,6.0,0.0,5.0,0.0,1.0,Zomato,3000.0,,"No, the food itself was overpriced",1–3 times,Not sure,1.0,True,False,False,False,False,True,75.0,False,False,4.0,2.0,Service P,2.0,4.0,True,True,False,False
R085,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,3,True,3.0,18.0,11.0,3.0,0.0,4.0,Swiggy,206.0,,"No, the extra charges on top were too much",Never,Yes,1.0,True,False,False,True,True,True,20.0,False,False,5.0,4.0,Service Q,3.0,4.0,True,True,False,False
R087,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,3.0,6.0,2.0,3.0,0.0,1.0,Zomato,175.0,,"No, the food itself was overpriced",Never,I don't use the Rapido app,2.0,True,True,False,True,True,True,20.0,False,False,4.0,4.0,Service P,3.0,5.0,True,True,False,False
R088,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,1,True,3.0,13.0,5.0,2.0,0.0,6.0,Swiggy,404.0,,"No, the extra charges on top were too much",About once a week,No,0.0,False,False,False,True,False,False,50.0,False,False,5.0,5.0,I genuinely can't choose between them,3.0,5.0,True,True,False,False
R091,Hyderabad,Another part of Hyderabad,30–35,Working full-time,False,True,2,True,2.0,3.0,1.0,2.0,0.0,0.0,Zomato,1000.0,,"Yes, it felt fair",1–3 times,No,0.0,False,False,False,True,False,False,,False,True,4.0,4.0,I genuinely can't choose between them,4.0,4.0,True,False,False,False
R093,Hyderabad,Another part of Hyderabad,25–29,Working full-time,False,True,2,True,2.0,3.0,2.0,1.0,0.0,0.0,Zomato,820.0,,"No, the extra charges on top were too much",1–3 times,Not sure,0.0,False,False,False,True,True,False,10.0,False,False,4.0,4.0,Service P,2.0,5.0,True,False,False,False
R094,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,False,0,False,1.0,3.0,3.0,0.0,0.0,0.0,Swiggy,289.0,,I didn't really look at the breakdown,Never,I don't use the Rapido app,1.0,True,False,False,True,True,False,20.0,False,False,4.0,3.0,Service P,2.0,4.0,True,True,False,False
R095,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,2.0,10.0,3.0,7.0,0.0,0.0,Zomato,,,"No, the extra charges on top were too much",About once a week,No,0.0,False,False,False,True,False,True,50.0,False,False,4.0,4.0,Service Q,2.0,4.0,True,True,False,False
R096,Hyderabad,Another part of Hyderabad,30–35,Student (postgraduate / PhD),False,True,2,True,3.0,13.0,2.0,2.0,0.0,9.0,Swiggy,900.0,,"No, the extra charges on top were too much",1–3 times,No,0.0,False,False,False,False,False,False,,False,True,4.0,4.0,I genuinely can't choose between them,4.0,4.0,True,False,False,False
R097,Bengaluru,Hebbal / Yelahanka / North Bengaluru,20–24,Working full-time,False,True,1,True,3.0,8.0,3.0,2.0,0.0,3.0,Zomato,600.0,,"No, the extra charges on top were too much",1–3 times,Yes,1.0,True,False,False,False,True,False,30.0,False,False,4.0,4.0,Service Q,4.0,4.0,False,False,True,False
R098,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,2.0,3.0,0.0,1.0,0.0,2.0,Zomato,330.0,,"Yes, it felt fair",Never,No,0.0,False,False,False,True,False,False,,False,True,3.0,5.0,Service Q,4.0,4.0,True,True,False,False
R099,Another city,Another Indian city,20–24,Student (undergraduate),False,True,2,False,1.0,17.0,0.0,17.0,0.0,0.0,Zomato,330.0,,"No, the food itself was overpriced",,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R102,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,30–35,Working full-time,False,True,1,True,2.0,6.0,0.0,4.0,0.0,2.0,Zomato,2500.0,,"No, the extra charges on top were too much",Never,Not sure,0.0,False,False,False,True,True,False,100.0,False,False,4.0,5.0,Service Q,4.0,4.0,False,False,True,False
R103,Hyderabad,Gachibowli,25–29,Student (postgraduate / PhD),True,True,1,False,1.0,21.0,21.0,0.0,0.0,0.0,Swiggy,450.0,,"Yes, it felt fair",Never,I don't use the Rapido app,0.0,False,False,False,False,False,False,,True,False,1.0,5.0,Service Q,5.0,4.0,True,True,False,False
R104,Hyderabad,Another part of Hyderabad,30–35,Working full-time,False,True,2,True,2.0,19.0,0.0,12.0,0.0,7.0,EatSure,250.0,,"No, the food itself was overpriced",1–3 times,No,1.0,True,False,False,False,False,True,,True,False,5.0,5.0,Service Q,4.0,5.0,True,False,False,False
R105,Another city,Another Indian city,18–24,Student (undergraduate),False,True,2,True,2.0,29.0,18.0,11.0,0.0,0.0,Swiggy,275.0,,"Yes, it felt fair",,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R106,Another city,Mumbai,25–29,Working full-time,False,True,2,True,2.0,3.0,1.0,2.0,0.0,0.0,Zomato,9842.0,,"Yes, it felt fair",,No,,False,False,False,,,,,False,False,,,,,,False,False,False,True
R109,Bengaluru,Hebbal / Yelahanka / North Bengaluru,18–24,Student (undergraduate),False,True,2,False,1.0,4.0,0.0,4.0,0.0,0.0,Zomato,152.0,,"Yes, it felt fair",1–3 times,No,3.0,True,True,True,True,True,True,30.0,False,False,1.0,3.0,Service P,4.0,4.0,False,False,True,False
R110,Hyderabad,Another part of Hyderabad,25–29,Looking for a job,False,True,2,True,2.0,7.0,5.0,2.0,0.0,0.0,Swiggy,800.0,,"Yes, it felt fair",1–3 times,No,0.0,False,False,False,False,False,False,100.0,False,False,5.0,5.0,Service Q,4.0,5.0,True,False,False,False
R112,Bengaluru,Electronic City / Bommanahalli,25–29,Studying and working (internship / part-time),False,True,2,True,2.0,16.0,8.0,8.0,0.0,0.0,Swiggy,1500.0,,"No, the extra charges on top were too much",About once a week,No,1.0,True,False,False,True,True,True,100.0,False,False,5.0,5.0,Service Q,4.0,5.0,False,False,True,False
R113,Hyderabad,Another part of Hyderabad,18–24,Working full-time,False,True,3,True,3.0,9.0,4.0,2.0,0.0,3.0,Swiggy,1500.0,,"Yes, it felt fair",Several times a week,No,0.0,False,False,False,True,False,True,100.0,False,False,4.0,5.0,Service Q,4.0,5.0,True,False,False,False
