Source,Month,Engagement,Sentiment Score,Sentiment Label,Star Rating,Themes,Verbatim
YouTube,,26.0,-0.7,negative,,Rider Economics; Zero Commission; Speed Eta,"Nobody is saint here. Zomato charges such commissions and earn. Restaurant owners inflate their pricing by 30%. Its finally the customer who is at complete loss. Restaurant and platforms are making money. If restaurants were at such huge loss, then we won't ev…"
App store,2026-06,26.0,-1.0,negative,1.0,,"★☆☆☆☆ Terrible experience. My order was accepted and payment was processed, but after waiting over an hour, customer support called to say it was cancelled because the item was out of stock. If the item wasn't available, the order should never have been accept…"
YouTube,,25.0,-0.333,negative,,Regulation,Definitely government services never success 😂😂
YouTube,,25.0,0.0,neutral,,Rider Economics,"@yugeswarreddy4008  That's what I don't understand. There are many Rapido riders whose life will get affected drastically as many would've taken loan to buy the vehicle or other for other purposes. Now the option they have is to move to Zomato, Swiggy etc. Hop…"
App store,2026-06,24.0,-1.0,negative,1.0,,"Extremely disappointing experience. I placed an order, but the rider became unreachable and my order was never delivered. Instead of resolving the issue, customer support kept sending generic apologies and then simply cancelled my order. Despite the inconvenie…"
Social,2025-06,22.0,0.038,neutral,,Sustainability Skepticism; Future Fee Creep Expected,"The zero commission & zero platform fees is just a carrot dangling to capture the market. Once it will capture the substantial market portion, it will also start behaving like how Swiggy & Zomato is charging nowadays."
YouTube,,22.0,-0.333,negative,,Rider Economics; Support Refund,"​ @imShivamKumar rapido rider here, you never know who complained about you and in case of female customer, we cannot contact them directly, only can be connected by rapido channels only ."
App store,2026-07,20.0,-1.0,negative,1.0,,"very poor customer service. They had displayed a closed down restaurant in their app. Unware of this,I ordered from here and they cancelled my order. They keep saying the amount is refunded but it has not yet reached my account. I tried texting the customer se…"
Social,2025-08,18.0,0.118,neutral,,Fee Model Description; Sustainability Skepticism,"[retrieval summary — not verbatim] Academic/finance commentator describes pilot (Koramangala, HSR): free delivery for orders ≥ Rs.100, flat Rs.25 restaurant charge; questions sustainability and notes Swiggy is a strategic investor in Rapido."
Social,2025-06,18.0,0.59,positive,,Fee Model Description; Launch Claim Relay,Zero commission for restaurants ✅ No platform fees for users ✅ Fixed delivery fee (₹10–₹25) ✅ Push for sub-₹250 meals ✅ Transparent pricing — no hidden markups
Social,2026-03,18.0,-0.058,neutral,,Incumbent Cheaper After Offers; Assortment Limited; Discovery Ux Basic; Missing Wrong Items; Support Slow; Early Launch Trust Risk,"I compared the same dish from the same restaurant between Ownly and Zomato. Surprisingly, the final price on Zomato was cheaper. Why? Because of platform offers and credit card discounts. ... Limited restaurant availability ... A very basic homepage ... During…"
App store,2026-07,18.0,-0.136,negative,1.0,,"​Money was deducted from my account, but the app immediately showed the order as cancelled. To make matters worse, customer support completely ignores my messages and provides zero help. If you are going to take people's money, your order tracking and support …"
YouTube,,17.0,0.336,positive,,,actually under 100. And now Swiggy has also implemented this. Just today i saw that i can order a single parantha or ice cream for like 50-60 without delivery charge. Competition is always good for customers.
App store,2026-07,17.0,-1.0,negative,1.0,,"worst app Experience placed a food order through the Ownly app, but it has been delayed for a long time and still hasn't been delivered. I tried contacting customer support and the helpline, but I haven't received any response. I also wanted to cancel the orde…"
App store,2026-06,17.0,-0.231,negative,1.0,,"The final order placement page doesn't work. I tried this app again, this time I was able to place my order, and when I got it, it was tasting like 10 days old food. When I got in touch with the support team, they were not agreeing to give me a replacement nor…"
YouTube,,16.0,0.0,neutral,,,"Yes you're ryt, and we cannot do more than 2-3 food deliveries per hour because it needs time to prepare"
YouTube,,16.0,0.333,positive,,Price Advantage; Rider Economics; Word Of Mouth,It does show that even restaurants didn't focused on capturing customer base by learning the most ordered foods and from where customers orders the food.. both matters because tomorrow you can just shift there and open your kitchen and sell food now efficientl…
App store,2026-07,16.0,-0.5,negative,1.0,,"This app gives you best and affordable price menu. But Disappointed when I ordered from a restaurant and it got cancelled automatically. This happened 3 times with me, order does not get placed and amount gets deducted from you account. Later they refund the a…"
YouTube,,15.0,0.674,positive,,,"Nice analysis, restaurant owners like me were looking for an alternative of swiggy/zomato, hope rapido works better 👍"
YouTube,,14.0,-0.731,negative,,Ondc Precedent,I think ONDC and Rapido are not good comparison. ONDC had very poor execution. It all depends on How it can be executed. I feel rapido can crack it cause its investors money and they will be careful to spend it and Investor will require growth
YouTube,,14.0,0.0,neutral,,,I work with Swiggy as a Principal Architect. My salary is 3 Crores every year. Walmart paid me 1.5 crores. Swiggy doubled my salary. Someone will have to pay - Customer or the Restaurant.
YouTube,,14.0,0.0,neutral,,,"Raid hailing is banned , not the  company"
Social,2026-08,13.0,0.0,neutral,,Competitor Context; Market Expansion First Time Users,"Rapido's Ownly, Flipkart, Swiggy and Zomato race for the next 100 million food delivery users ... the bigger prize lies in bringing millions of first-time users online."
App store,2026-07,13.0,-1.0,negative,1.0,,"Very disappointing experience. I ordered around 4 PM after not eating all day, but delivery was delayed and two items were out of stock. I agreed to one replacement and requested a refund for the other, but it still hasn’t been processed. To make it worse, I r…"
YouTube,,12.0,0.708,positive,,Regulation,only bike taxis are banned cause auto gundas can't stomach the fact that they can't scam customers and spineless congress govt that just keep making decision that just keeps making average peoples lives miserable while playing blame game and caste politics
App store,2026-07,12.0,-0.069,neutral,1.0,,"Started using since a week, first 2-3 orders went well with decent food and the no platform fee and all. Today's order was too quick, almost half the time early, when checked, they delivered completely different items and some stale food. All this by using som…"
Social,2026-07,11.0,0.167,positive,,Competitor Context,"Coming right on the heels of Rapido's zero-commission platform 'Ownly,' ... Flipkart intends to address these precise pain points: ONDC Integration ... Lower Consumer Prices"
YouTube,,11.0,0.0,neutral,,,Zomato and Swiggy are hardly making profits. Rapido may come with all guns blazing with 2-3 billions in spending but eventually they’ll go to Zomato/swiggy model. It’s impossible to make money without inflating prices.
YouTube,,11.0,-0.333,negative,,,​ @Statosphy  never underestimate the power a auto union 😅
App store,2026-07,11.0,-0.674,negative,1.0,,"I had a very disappointing experience with this app. It advertises discounts to attract customers, but the overall experience wasn't what I expected. The biggest issue was with the ""Veg"" filter. I selected the Veg option assuming it would show only pure vegeta…"
YouTube,,10.0,0.5,positive,,Price Doubt; Support Refund,"I've reached my limit with Zomato and Swiggy's unfair pricing. A local restaurant in Hyderabad , Gachibowli I visit almost daily serves a veg thali for ₹180 and a chicken thali for ₹210 — but on these apps, the same meals are priced at ₹310 and ₹360 respective…"
YouTube,,10.0,0.0,neutral,,,"“Sometimes, in the process of deafeating the villain, you become the villain”"
